reference,longitude,latitude,timestamp,probability of failure,time of day
asset_1,-73.9324913,40.79538516,10/27/12 0:00,7.979999999999999e-05,midnight
asset_2,-74.0053561,40.75694336,10/27/12 0:00,7.859999999999999e-05,midnight
asset_3,-73.97660882,40.79075811,10/27/12 0:00,2.07e-05,midnight
asset_4,-73.94538589,40.78395576,10/27/12 0:00,0.000156399,midnight
asset_5,-73.91599138,40.87012314,10/27/12 0:00,1.55e-05,midnight
asset_6,-73.97888312,40.75352663,10/27/12 0:00,0.002209417,midnight
asset_7,-74.00099541,40.75477336,10/27/12 0:00,0.000136561,midnight
asset_8,-73.93574225,40.83189089,10/27/12 0:00,0.00225539,midnight
asset_9,-74.00863725,40.7422405,10/27/12 0:00,5.19e-05,midnight
asset_10,-73.98998223,40.77019776,10/27/12 0:00,0.000559575,midnight
asset_11,-73.93127946,40.78651456,10/27/12 0:00,6.9e-05,midnight
asset_12,-73.94681439,40.80492613,10/27/12 0:00,4.7600000000000003e-07,midnight
asset_13,-73.97316207,40.76435321,10/27/12 0:00,3.41e-05,midnight
asset_14,-73.93880094,40.80036317,10/27/12 0:00,0.000502314,midnight
asset_15,-73.96356963,40.81485355,10/27/12 0:00,8.58e-05,midnight
asset_16,-73.96894468,40.79008679,10/27/12 0:00,8.52e-05,midnight
asset_17,-73.99092956,40.72267047,10/27/12 0:00,3.52e-05,midnight
asset_18,-73.94224022,40.8397957,10/27/12 0:00,8.8e-05,midnight
asset_19,-73.96319518,40.80927051,10/27/12 0:00,0.000519096,midnight
asset_20,-73.9294113,40.87168166,10/27/12 0:00,0.000132818,midnight
asset_21,-73.96378125,40.80030613,10/27/12 0:00,0.00025954099999999996,midnight
asset_22,-73.96463194,40.77555478,10/27/12 0:00,0.001307169,midnight
asset_23,-73.93892885,40.83749041,10/27/12 0:00,0.000155186,midnight
asset_24,-73.9656158,40.80476261,10/27/12 0:00,0.0010024930000000001,midnight
asset_25,-74.00909226,40.71803776,10/27/12 0:00,0.000225981,midnight
asset_26,-73.98129252,40.72863468,10/27/12 0:00,0.00041133099999999997,midnight
asset_27,-74.01533894,40.68782791,10/27/12 0:00,0.000859663,midnight
asset_28,-73.92723385,40.86428192,10/27/12 0:00,0.000283485,midnight
asset_29,-73.94989076,40.83016562,10/27/12 0:00,0.006410456,midnight
asset_30,-73.97343212,40.74663155,10/27/12 0:00,0.001041245,midnight
asset_31,-73.99549055,40.76603273,10/27/12 0:00,0.000471371,midnight
asset_32,-73.99670303,40.74400203,10/27/12 0:00,0.00033001199999999997,midnight
asset_33,-73.9539879,40.81417685,10/27/12 0:00,9.620000000000001e-05,midnight
asset_34,-73.95411517,40.78889383,10/27/12 0:00,0.0002802,midnight
asset_35,-73.96324345,40.79620632,10/27/12 0:00,1.22e-06,midnight
asset_36,-73.98643335,40.77104184,10/27/12 0:00,0.000747658,midnight
asset_37,-73.97820494,40.79488802,10/27/12 0:00,5.520000000000001e-05,midnight
asset_38,-73.94061636,40.81318474,10/27/12 0:00,0.000668402,midnight
asset_39,-74.01514089,40.68820565,10/27/12 0:00,3.24e-05,midnight
asset_40,-74.00954483,40.722719299999994,10/27/12 0:00,0.00014466200000000002,midnight
asset_41,-73.93762461,40.84355328,10/27/12 0:00,0.00040969199999999997,midnight
asset_42,-73.95640811,40.82446938,10/27/12 0:00,0.000138617,midnight
asset_43,-73.97527306,40.75023442,10/27/12 0:00,0.002071462,midnight
asset_44,-73.94180722,40.84731606,10/27/12 0:00,4.65e-06,midnight
asset_45,-74.00445433,40.72844362,10/27/12 0:00,5.93e-05,midnight
asset_46,-74.01155641,40.72110261,10/27/12 0:00,0.000156402,midnight
asset_47,-73.95638353,40.79992797,10/27/12 0:00,9.259999999999999e-05,midnight
asset_48,-74.0460971,40.69046816,10/27/12 0:00,0.000487307,midnight
asset_49,-74.00077561,40.73777237,10/27/12 0:00,7.240000000000001e-05,midnight
asset_50,-73.93044053,40.85303423,10/27/12 0:00,3.27e-05,midnight
asset_51,-73.97366042,40.7381592,10/27/12 0:00,0.0009894230000000001,midnight
asset_52,-73.94904437,40.80563228,10/27/12 0:00,3.69e-07,midnight
asset_53,-73.95674079,40.80655401,10/27/12 0:00,1.8e-05,midnight
asset_54,-73.94170762,40.78664425,10/27/12 0:00,9.520000000000001e-05,midnight
asset_55,-73.99561868,40.741015000000004,10/27/12 0:00,4.23e-05,midnight
asset_56,-74.00684555,40.75399083,10/27/12 0:00,4.47e-05,midnight
asset_57,-73.98899394,40.73083898,10/27/12 0:00,1.87e-05,midnight
asset_58,-73.98191682,40.74149897,10/27/12 0:00,2.6700000000000002e-05,midnight
asset_59,-73.98186403,40.74199777,10/27/12 0:00,0.000381292,midnight
asset_60,-73.98681023,40.72131654,10/27/12 0:00,0.000554205,midnight
asset_61,-73.95814683,40.81074518,10/27/12 0:00,9.41e-05,midnight
asset_62,-73.98492579999998,40.75852194,10/27/12 0:00,0.00047974,midnight
asset_63,-73.97897395,40.76680344,10/27/12 0:00,0.001274852,midnight
asset_64,-73.99851542,40.73827324,10/27/12 0:00,5.41e-05,midnight
asset_65,-73.94703205,40.79148767,10/27/12 0:00,9.64e-06,midnight
asset_66,-73.94150046,40.81665894,10/27/12 0:00,0.129198452,midnight
asset_67,-73.97735735,40.73629901,10/27/12 0:00,4.24e-05,midnight
asset_68,-74.02085100000001,40.69071895,10/27/12 0:00,1.01e-05,midnight
asset_69,-73.98835055,40.76653666,10/27/12 0:00,2.49e-05,midnight
asset_70,-73.93761147,40.80889962,10/27/12 0:00,6.929999999999999e-05,midnight
asset_71,-73.96315431,40.80254204,10/27/12 0:00,6.61e-06,midnight
asset_72,-73.92550015,40.86267562,10/27/12 0:00,2.51e-05,midnight
asset_73,-73.99374298,40.72458228,10/27/12 0:00,0.00011664399999999999,midnight
asset_74,-73.94474502,40.77781767,10/27/12 0:00,0.000132416,midnight
asset_75,-74.01529516,40.70103744,10/27/12 0:00,3.63e-05,midnight
asset_76,-73.95401246,40.76496148,10/27/12 0:00,2.3100000000000002e-05,midnight
asset_77,-73.98077923,40.71064887,10/27/12 0:00,0.00024360900000000002,midnight
asset_78,-73.95249772,40.77427843,10/27/12 0:00,5.3500000000000006e-05,midnight
asset_79,-73.98301661,40.78731555,10/27/12 0:00,1.23e-05,midnight
asset_80,-73.95426415,40.82187616,10/27/12 0:00,0.000170827,midnight
asset_81,-73.9493992,40.81918399,10/27/12 0:00,4.01e-05,midnight
asset_82,-74.01973482,40.69250779,10/27/12 0:00,6.05e-05,midnight
asset_83,-73.94324898,40.79562582,10/27/12 0:00,0.000253191,midnight
asset_84,-73.93413317,40.82249142,10/27/12 0:00,1.89e-05,midnight
asset_85,-74.00361842,40.73939942,10/27/12 0:00,6.31e-06,midnight
asset_86,-73.94222829,40.7702656,10/27/12 0:00,2.98e-05,midnight
asset_87,-74.00982534,40.72174559,10/27/12 0:00,0.0009261110000000001,midnight
asset_88,-73.9207058,40.86801296,10/27/12 0:00,7.81e-06,midnight
asset_89,-73.98934349,40.75705305,10/27/12 0:00,0.000265845,midnight
asset_90,-73.97038878,40.74950183,10/27/12 0:00,0.000269724,midnight
asset_91,-73.94788585,40.82037295,10/27/12 0:00,4.8700000000000005e-05,midnight
asset_92,-73.97236345,40.76271428,10/27/12 0:00,0.000537988,midnight
asset_93,-73.96533231,40.79475811,10/27/12 0:00,0.005168948,midnight
asset_94,-74.01033752,40.70246049,10/27/12 0:00,3.16e-05,midnight
asset_95,-73.93675065,40.84785342,10/27/12 0:00,0.0044269059999999995,midnight
asset_96,-73.93835037,40.83397602,10/27/12 0:00,0.000458446,midnight
asset_97,-73.99780138,40.75990602,10/27/12 0:00,3.03e-06,midnight
asset_98,-74.00871415,40.74789389,10/27/12 0:00,0.0009490810000000001,midnight
asset_99,-73.97554514,40.74099875,10/27/12 0:00,4.23e-05,midnight
asset_100,-73.94495912,40.81929281,10/27/12 0:00,1.85e-05,midnight
